HV-Mode Off
T-Waveform SineWave+LinRamp
T-Amplitude[K] 0.5
T-Frequency[Hz] 0.01
T-Offset[K] 273.15
Heating-Rate[K/s] 0.0027777
Cooling-Rate[K/s] 0.0111111
T-Limit-High[K] 432.15
T-Limit-Low[K] 273.15
92.7205204 282.270304588816 281.088856983487
93.6056974 282.141217729663 280.900948509307
94.7329228 281.946414082891 280.742885302987
95.6811124 281.777373598414 280.583488229947
96.6373036 281.618227370005 280.393745689027
97.7755312 281.450165176286 280.228846415767
98.764729 281.297159188686 280.063947142507
99.7539268 281.137191808984 279.899214602587
100.7421244 280.972851693185 279.737983462807
101.7093178 280.809947982188 279.589424056867
102.600496 280.681737554247 279.402015782707
103.7247208 280.490479806255 279.244786243087
104.6679094 280.323217329673 279.084722236687
105.6281014 280.165529307812 278.894979695767
106.766329 279.997477878625 278.729913689167
107.756527 279.842073964551 278.564847682567
108.746725 279.682762571934 278.399948409307
109.7359228 279.517770324212 278.234215469347
110.7301216 279.354621499601 278.086656463447
111.6152986 279.225451261389 277.898747989267
112.742524 279.032066564319 277.740184582927
113.6937142 278.866029643207 277.581120976567
114.647905 278.708917086822 277.422224103547
115.6010956 278.559671795156 277.232815029307
116.7373228 278.390664940923 277.067582289367
117.728521 278.231209296182 276.902849749447
118.7167186 278.068455702416 276.738617409547
120.7731298 277.734978179613 276.395313462487
121.7613274 277.573578165772 276.230414189227
122.7505252 277.415334417104 276.064514515927
123.7457242 277.25559175929 275.899781976007
124.7339218 277.095367377366 275.735382902767
125.720119 276.936011262298 275.578320096487
126.6623074 276.77595827435 275.409252489727
127.6765102 276.620838210879 275.244519949807
128.6647078 276.463243495604 275.066948942707
129.7299208 276.294400350263 274.899548669347
130.7341216 276.131527438948 274.734482662747
131.7243196 275.968308984685 274.569916856167
132.711517 275.807326190001 274.404350649547
133.7047156 275.649103647941 274.239451376287
134.6939134 275.491106145712 274.074552103027
135.6831112 275.332370975648 273.909152629747
136.6753096 275.17274719055 273.744253356487
137.6645074 275.012385960148 273.567349282747
138.7257196 274.844634100679 273.402950209507
139.7119168 274.684523930106 273.237217269547
140.7061156 274.525749821424 273.792831738003
141.6943132 274.366202494246 273.768200841941
142.6825108 274.233237632904 273.742636281435
143.673709 274.340737356785 273.716455702606
144.6599062 274.51811425118 273.68961572013
145.6471036 274.56047230178 273.6623680781
146.6303002 274.488488504203 273.632370387811
147.6965134 274.378992725572 273.604332598417
148.6827106 274.306055524954 273.575992956909
149.6739088 274.270652268255 273.547556363468
150.6671074 274.249444277341 273.519998663879
151.6323004 274.223102120887 273.491838961523
152.625499 274.183814501465 273.4641102584
153.6146968 274.138727721489 273.436761657835
154.605895 274.094675528451 273.405247491041
155.7741286 274.050565044277 273.380156282037
156.7303198 274.012254525332 273.355730354013
157.6895116 273.976795479791 273.332075525607
158.651704 273.941260028242 273.309411794432
159.611896 273.906620680149 273.283891259747
160.7501236 273.869834515876 273.263948597125
161.6933122 273.835666787411 273.244894192847
162.6515038 273.803137260377 273.227061698304
163.6136962 273.772563219383 273.207752804244
164.7519238 273.740152017848 273.193020407505
165.7141162 273.711354548315 273.179851461622
166.673308 273.68464551748 273.168255210391
167.6324998 273.660278221139 273.156578265064
168.773728 273.634193995166 273.15
169.7219176 273.612542167537 273.15
170.6721076 273.591594200967 273.15
171.6282988 273.574392706047 273.15
172.7665264 273.55840424828 273.15
173.7107152 273.54848571034 273.15
174.654904 273.536537953891 273.15
175.6010932 273.526931670994 273.15
176.6933116 273.516721506766 273.150289613803
177.6395008 273.507253462208 273.16043747212
178.760725 273.496065850193 273.170843332202
180.6631054 273.483396666339 273.1969996513
181.6122952 273.482380779484 273.215646133846
182.7445216 273.484763124201 273.233291355048
183.7087144 273.488432603664 273.252192611557
184.6579042 273.492611311414 273.272754243887
185.6160958 273.499131436447 273.298903718968
186.7493224 273.508131174413 273.323240661686
187.73752 273.518850540975 273.348972985003
